title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Bita e o Circo",movie,,2020,,,,
"Lizzo: Live in Concert",movie,Music,2022,tt25406946,6.4,194,
"Ask Dr. Baden: An Autopsy Special",movie,"Crime, Documentary",2005,tt0439455,8,57,
Jailbird,movie,"Comedy, Drama",2022,tt16961210,5.3,120,
"Bama Rush",movie,Documentary,2023,tt21814814,4.2,2059,
"Destroy All Aliens",movie,"Action, Adventure, Comedy, Animation",2013,,,,
Affrikáta,movie,"Drama, Short",2022,tt13376442,6.7,50,
"Thomas & Friends: All Engines Go - The Mystery of Lookout Mountain",movie,Animation,2022,tt21171418,4,61,
Solitude,movie,Drama,2023,tt26218798,7,335,
"Andrea's Love",movie,"Adventure, Comedy",2023,tt21880610,6.2,151,
"Tut's Lost City Revealed",movie,History,2022,tt22910702,7.5,36,
Coup!,movie,"Comedy, Thriller",2023,tt23793170,6.1,2474,
"Some Birds",movie,"Comedy, Drama",2023,tt23546320,6.9,647,
"Holy Dilemma",movie,Documentary,2022,tt14039944,7.3,85,
"Good Guy with a Gun",movie,"Drama, Thriller",2022,tt14643166,5.4,192,
"Pelosi in the House",movie,"Biography, Documentary",2022,tt23852952,5.7,1356,
"The Christmas Games",movie,Comedy,2022,tt18263854,6.4,42,
"Rock Dog 3: Battle the Beat",movie,"Adventure, Animation, Comedy",2022,tt11207270,4.8,299,
Supernova,movie,Drama,2023,tt22497728,5.7,108,
"Love to Love You, Donna Summer",movie,"Documentary, Music",2023,tt16442822,6.5,1320,
"Sesame Street: The Nutcracker",movie,Animation,2022,tt24020274,7,25,
"Call Me Miss Cleo",movie,Documentary,2022,tt24443706,5.5,835,
"Mariupol: The People's Story",movie,"Documentary, War",2022,tt26769803,7.9,255,
"Silents, Please! A Love Letter to the Silent Era",movie,Documentary,2020,,,,"AG, BB, BS, HN, NI, TT, US"
"Oprah and Quinta Brunson Abbott Elementary",movie,"Documentary, TV Movie",2022,,,,
"Irmão do Jorel Especial de Natal: Irmão do Noel",movie,"Animation, Music, Short",2022,tt24855390,8.2,33,
"Jugada Peligrosa",movie,"Documentary, History, Sport",2022,tt28654836,7.4,15,
"The Coffee Table",movie,"Comedy, Drama, Horror",2022,tt21874760,6.7,8920,
"It's Beginning to Look a Lot Like Murder",movie,Mystery,2022,tt23705480,5.2,206,
"You'll Be Home For Christmas",movie,"TV Movie",2020,,,,
Paprika,movie,Animation,2019,,,,
"The Persian Version",movie,"Comedy, Drama, Romance",2023,tt24076146,6.2,4233,
"The Stroll",movie,Documentary,2023,tt24079774,7.2,846,
Slow,movie,"Drama, Romance",2023,tt15289510,7.1,2144,
"Going to Mars: The Nikki Giovanni Project",movie,Documentary,2023,tt7196012,6.8,692,
"Fantastic Machine",movie,Documentary,2023,tt24082520,6.9,901,
Pianoforte,movie,"Documentary, Music",2023,tt24082644,7.3,496,
Radical,movie,Drama,2023,tt14570440,7.8,6516,
"Almost Entirely a Slight Disaster",movie,"Comedy, Drama",2023,tt22939030,5.9,546,
"Little Dixie",movie,"Action, Crime, Thriller",2023,tt13614388,4.9,1857,
"The Da Vinci Code Mystery Special",movie,,2006,,,,
"Devil in the Mountains",movie,"Crime, Documentary",2022,tt26213312,7.8,90,
"The Great Nothing",movie,Documentary,2023,tt27193714,7.1,55,
"Chef Jack: The Adventurous Cook",movie,"Adventure, Animation, Comedy",2023,tt24067350,6.1,149,
"Sea Sparkle",movie,Family,2023,tt11773174,6.2,204,
"The Burdened",movie,Drama,2023,tt16611924,7.1,738,
"A Stork's Journey 2",movie,"Adventure, Animation, Family",2023,tt14514964,5.1,374,
INNERSPACE,movie,"Music, Mystery, Science Fiction",2022,,,,
Afraid,movie,"Horror, Mystery, Sci-Fi",2024,tt24577462,5.2,13042,
"Dr. Pimple Popper: With Every Cyst-mas Card I Write",movie,,2022,,,,
"Sweet Dreams",movie,"Comedy, Drama, Sport",2024,tt22399738,5.4,1383,
Widerstand,movie,"Comedy, Short",2019,tt21068018,,,
Exodus,movie,Drama,2023,tt15021154,6.9,3780,
"Gaga Chromatica Ball",movie,"Music, Musical",2024,tt29794647,8.1,1964,
"Me he hecho viral",movie,Comedy,2023,tt20420798,5.4,632,
"Como Dios manda",movie,Comedy,2023,tt15502664,5.2,707,
"Like Sheep Among Wolves",movie,"Crime, Drama, Thriller",2023,tt18351790,6.3,566,
"How to Murder Your Husband",movie,Drama,2023,tt23668756,5.1,605,
Unseen,movie,"Horror, Thriller",2023,tt17201166,5.8,2372,
"When Love Springs",movie,"Comedy, Romance",2023,tt24484852,6.3,871,
"Cats & Dogs",movie,Documentary,2023,,,,
"Sweeter Than Chocolate",movie,"Comedy, Romance",2023,tt25391002,6.7,1257,
"A Paris Proposal",movie,"Comedy, Romance",2023,tt25391064,6.4,1116,
"Made for Each Other",movie,"Comedy, Fantasy, Romance",2023,tt25391120,5.9,806,
"Miss Patti",movie,"Comedy, Short",2022,tt18752576,6.8,10,
"Inshallah a Boy",movie,Drama,2023,tt25406412,7.2,1645,
"A Nashville Legacy",movie,"Comedy, Drama, Romance",2023,tt25391134,6.4,320,
"BS High",movie,"Documentary, Sport",2023,tt21929748,7.2,1556,
"El Paraiso",movie,Drama,2023,tt21905608,6.7,293,
Thanksgiving,movie,"Comedy, Horror, Mystery",2023,tt1448754,6.2,69998,
"Just a Boy From Tupelo: Bringing Elvis to the Big Screen",movie,Documentary,2023,,,,
"Norwegian Dream",movie,"Drama, Romance",2023,tt16982622,6.4,1091,
Elaha,movie,Drama,2023,tt25366350,6.7,344,
"Restore Point",movie,"Crime, Drama, Sci-Fi",2023,tt9362492,6.2,2530,
Disquiet,movie,"Horror, Mystery, Thriller",2023,tt25869142,3.8,2998,
"Fear and Loathing in Las Vegas: Live at Summer Sonic 2022",movie,,2022,,,,
"Night Swim",movie,"Horror, Mystery, Thriller",2024,tt9682428,4.7,26877,
"Our Blossom",movie,Romance,2023,tt16358200,4.6,603,
Taximetristi,movie,"Comedy, Drama",2023,tt21434882,7,3662,
"Down Low",movie,Comedy,2023,tt14592044,5.6,2617,
"Being Mary Tyler Moore",movie,Documentary,2023,tt26084136,7.5,1202,
"You Were My First Boyfriend",movie,Documentary,2023,tt11840016,6,190,
"F**Ked Up",movie,,2017,,,,
"Great Photo, Lovely Life",movie,Documentary,2023,tt11331792,7.4,1758,
"Last Stop Larrimah",movie,"Crime, Documentary, Mystery",2023,tt26081866,7.1,2619,
"Christmas Eve in Miller's Point",movie,"Comedy, Drama",2024,tt25052668,5.6,2269,
Championext,movie,Comedy,2023,tt21881982,6.1,1185,
"About Thirty",movie,Comedy,2023,tt26342673,6.7,298,
"How to Have Sex",movie,Drama,2023,tt22890246,6.5,19651,
"The Girl Who Escaped: The Kara Robinson Story",movie,"Crime, Drama, Thriller",2023,tt25602750,6.2,5059,
"Little Bone Lodge",movie,"Crime, Horror, Mystery",2023,tt19858164,6,12681,
"All the Colours of the World Are Between Black and White",movie,"Drama, Romance",2023,tt25161220,6.2,227,
"The Shadowless Tower",movie,Drama,2023,tt26441793,6.6,510,
"Kiss the Future",movie,"Documentary, Music",2023,tt17022868,7.6,651,
"Without Air",movie,Drama,2023,tt15495540,7.2,989,
"The First Two",movie,"Drama, Romance",2023,tt19796736,6.9,109,
"Gaby's Hills",movie,"Drama, Short",2023,tt27051815,7.2,32,
"Drew's Dream Car",movie,Reality-TV,2021,tt21188840,6,11,
"Marc Maron: From Bleak to Dark",movie,"Comedy, Documentary",2023,tt26453369,7.1,1447,
"Sweet on You",movie,"Comedy, Drama, Romance",2023,tt23785162,5.8,444,
Stepne,movie,Drama,2023,tt28291829,5.8,123,
"L'ultima volta che siamo stati bambini",movie,Comedy,2023,tt18925116,6.6,694,
"Daughter of the Bride",movie,Comedy,2023,tt21106970,5.5,660,
"Chernobyl: Secrets, Lies, and the Untold Stories",movie,Documentary,2022,tt19868242,6.8,81,
"Secrets of the FBI",movie,Documentary,2012,,,,
"LEGO DC Super Hero Girls: Galactic Wonder",movie,"Animation, Action, Comedy",2017,,,,
"The Silent Ones",movie,"Drama, Short, Thriller",2022,tt22054360,6.8,86,
"The Incredible Story of Kimchi",movie,Documentary,2022,tt23788406,8.2,11,
"Toucan Nation",movie,Documentary,2016,,,,
"First Snow of Summer",movie,Romance,2023,tt26508928,6.4,772,
"Super-Vilains: l'Enquête",movie,Documentary,2023,tt26498712,5.2,90,
"The Weeknd: Live at SoFi Stadium",movie,Music,2023,tt26685153,7.8,602,
"The Family Meeting",movie,"Comedy, Short",2023,tt16244956,,,
"Mini Beat Power Rockers: The Movie",movie,"Adventure, Animation, Family",2022,tt30400055,6.4,11,
"For All Humankind",movie,Documentary,2023,tt26626038,3.1,150,
"Marcella Arguello: Bitch, Grow Up!",movie,"Comedy, Short",2023,tt26623699,6,87,
"On the Pulse",movie,Drama,2023,tt28494237,5.9,377,
"Bishara - Från Instagram till Mello",movie,Documentary,2020,tt11687888,,,
"Resident Evil: Death Island",movie,"Action, Animation, Horror",2023,tt26674627,5.7,10076,
Holiday,movie,Thriller,2023,tt28503022,5.4,137,
"The Kiss List",movie,Romance,2023,tt19753884,4.7,146,
Éger,movie,"Crime, Drama",2023,tt26249342,5.4,96,
"Pens and Pencils",movie,"Short, Thriller",2022,tt14153488,7.4,48,
"The Watchers",movie,"Fantasy, Horror, Mystery",2024,tt26736843,5.7,54576,
"Emergency Contact",movie,"Comedy, Short",2015,tt4037922,7,41,
"The Devil's Academy",movie,"Documentary, Drama, Fantasy",2023,tt24940422,3.8,105,
"Time Bomb Y2K",movie,Documentary,2023,tt26786629,6.2,1072,
"Michigan Hell House",movie,"Documentary, Drama, Fantasy",2023,tt24939726,6.3,82,
"Marlon Wayans: God Loves Me",movie,Comedy,2023,tt26753138,6.6,735,
Siege,movie,"Action, Adventure, Crime",2023,tt16156592,5.2,1133,
"War Zone: Bear Grylls meets President Zelenskyy",movie,Documentary,2023,tt26763622,5.9,360,
"Something's Brewing",movie,Romance,2023,tt22496962,6,445,
Helena,movie,"Drama, Romance",2012,tt2662392,,,
"Journey to Bethlehem",movie,"Adventure, Family, Musical",2023,tt13848804,6.4,3254,
"Carrot Cake Murder: A Hannah Swensen Mystery",movie,"Crime, Drama, Mystery",2023,tt26928076,6.3,887,
"The Professional Bridesmaid",movie,Romance,2023,tt27010283,6.2,1029,
"A Pinch of Portugal",movie,Romance,2023,tt27244707,6.1,1083,
"Hearts in the Game",movie,"Comedy, Romance",2023,tt27138882,6.4,897,
"Spring Breakthrough",movie,"Drama, Family, Romance",2023,tt27244847,5.7,333,
"Gray Matter",movie,"Drama, Sci-Fi, Thriller",2023,tt25947954,5,1297,
Chalga,movie,Drama,2023,tt27179834,5,613,
Volveré,movie,Drama,2023,tt29106482,8,30,
"The Vanishing Soldier",movie,"Drama, Thriller, War",2023,tt27817584,6.3,348,
"O Faixa Preta",movie,"Biography, Drama, Sport",2022,tt23651588,6.9,115,
"In the Company of Women",movie,Drama,2023,tt21957904,6.3,426,
"50 km/h",movie,Comedy,2024,tt27395353,6.1,573,
Papi,movie,"Documentary, Short",2020,tt13892332,6.6,5,
"Lady Bouncer",movie,"Comedy, Short",2017,tt6942224,6.2,28,
"The Walk",movie,"Action, Drama, Short",2015,tt3758526,6.6,44,
"The Man with No Face",movie,"Crime, Documentary",2023,tt26753485,7.5,89,
"Killing Crabs",movie,Drama,2023,tt15270666,4.8,580,
"Grand Tour",movie,"Drama, History, Romance",2024,tt27180099,6.5,1367,
"The Idaho College Murders",movie,Crime,2023,tt26849851,5.8,278,
"Beyond 'The Golden Compass': The Magic of Philip Pullman",movie,Documentary,2007,tt1147716,7,61,
"Mr. Monk's Last Case: A Monk Movie",movie,"Comedy, Crime, Mystery",2023,tt27145269,6.7,11139,
"Experimentul Pitesti",movie,"Biography, Drama, History",2023,tt4623752,5.8,168,
Rispet,movie,Drama,2023,tt15502282,5.5,43,
"Jason Isbell: Running With Our Eyes Closed",movie,"Documentary, Music",2023,,,,
Confessions,movie,Thriller,2023,tt20196104,6.7,649,
"Murders at the Burger Joint",movie,"Crime, Documentary",2022,tt22034936,5.7,120,
"My Paper Dolls",movie,Comedy,2023,tt16280438,6.3,161,
"1000% Me: Growing Up Mixed",movie,Documentary,2023,tt27561913,7.3,207,
"How We Get Free",movie,"Documentary, Short",2023,tt26909136,6.3,185,
"The Land of Women",movie,Drama,2023,tt7143882,5.4,74,
"All About the Little Things",movie,"Comedy, Drama",2023,tt27447581,5.8,27,
"The Diary of Paulina P.",movie,Family,2023,tt27190968,6.3,246,
Ex-Husbands,movie,"Comedy, Drama",2023,tt21347764,6,583,
Snag,movie,"Action, Mystery, Thriller",2023,tt26082308,4.2,580,
"They Called Him Mostly Harmless",movie,"Crime, Documentary, Mystery",2024,tt31049718,5.9,3192,
Disquiet,movie,Documentary,2023,,,,
"The World's Fattest Man: 10 Years On",movie,Documentary,2021,tt21946080,6.1,14,
"Foremost by Night",movie,Drama,2023,tt21882016,5.9,231,
"Taz: Quest for Burger",movie,"Adventure, Animation, Comedy",2023,tt27469256,5.6,121,
"The Monk and the Gun",movie,"Comedy, Drama",2023,tt15560314,7.1,3368,
"Traces of Love",movie,"Comedy, Drama, Fantasy",2024,tt30982333,6.5,900,
"Night of Their Break-up",movie,,2023,,,,
"All-Star Halloween Spectacular",movie,Reality-TV,2016,tt6132566,6.9,17,
"John Early: Now More Than Ever",movie,"Comedy, Documentary",2023,tt11459818,6.4,451,
"Own Forest",movie,Documentary,2023,tt23849788,7.8,51,
Mercy,movie,"Action, Drama",2023,tt26439204,4.5,2187,
Rites,movie,Short,2022,tt27377247,6.6,33,
"Peter & the Wolf",movie,"Adventure, Animation, Family",2023,tt29277717,6.6,424,
"The Buriti Flower",movie,Drama,2023,tt27502245,6.5,345,
"Megalodon: The New Evidence",movie,Documentary,2014,,,,
"Waitress: The Musical",movie,"Comedy, Drama, Musical",2023,tt15477042,7.8,2571,
"Blackbird Blackbird Blackberry",movie,Drama,2023,tt27737950,7,1489,
"Smoking Tigers",movie,Drama,2023,tt21097936,6.1,265,
"Unsung Hero",movie,"Drama, Family",2024,tt23638614,7,4856,
"Rock Hudson: All That Heaven Allowed",movie,Documentary,2023,tt13514636,7.3,1603,
"A Revolution on Canvas",movie,"Documentary, Thriller",2023,tt27549854,7.3,119,
"The Lionheart",movie,Documentary,2023,tt27543996,7.3,342,
"Taylor Mac's 24-Decade History of Popular Music",movie,"Documentary, Music",2023,tt27549751,7.6,151,
Englemageren,movie,"Crime, Thriller",2023,tt22203026,5.3,2507,
Vika!,movie,Documentary,2023,tt27773947,6.5,160,
"Lemon Tree",movie,"Drama, Short",2023,tt27543446,6.3,256,
"Me contro Te - Il film: Vacanze in Transilvania",movie,Family,2023,tt27715920,3.9,79,
"Silos Baking Competition",movie,Reality-TV,2022,tt21613984,5,42,
"Holiday Edition",movie,Reality-TV,2022,tt24513336,,,
"As It Was",movie,"Drama, Short",2023,tt27611321,6,73,
"Breaking New Ground: Expanding the Silos",movie,Documentary,2021,tt14214350,,,
"When the Sun Sets",movie,,2023,,,,
"When in Rome",movie,"Comedy, Drama, Romance",2024,tt27123082,6.1,718,
"Love's Greek to Me",movie,Romance,2023,tt27689644,5.9,964,
"The Spawn of El Diablo",movie,Documentary,2021,tt15514560,4.5,14,
"Even Though It's Night",movie,"Drama, Short",2023,tt20356046,6.2,101,
Electra,movie,"Animation, Short",2023,tt27683631,7.1,238,
"Babylon 5: The Road Home",movie,"Animation, Sci-Fi",2023,tt27712788,6.6,1759,
"This Time Next Year",movie,"Comedy, Romance",2024,tt16301164,5.6,2088,
"August 13th",movie,"Drama, Short, Thriller",2022,tt23476888,6.6,31,
"The Queen of My Dreams",movie,"Comedy, Drama",2023,tt21876438,6.7,383,
"The A-Team",movie,,2021,,,,
"After the Bite",movie,Documentary,2023,tt14746834,6.1,467,
"Donyale Luna: Supermodel",movie,Documentary,2023,tt21046314,7.3,282,
"My King Charles III",movie,Documentary,2022,,,,
"Between the Temples",movie,Comedy,2024,tt27722375,6.3,2762,
"Better Times",movie,"Comedy, Drama",2023,tt21875240,6.3,801,
"El Delfín",movie,Drama,2022,,,,
"Bigfoot: Fear in the Woods",movie,"Documentary, Drama, Fantasy",2020,tt21967866,5.1,27,
"Sarah Silverman: Someone You Love",movie,Comedy,2023,tt27443713,6.2,1327,
"When Fucking Spring is in the Air",movie,Drama,2024,tt28756749,6.1,190,
"Ariel: Back to Buenos Aires",movie,Drama,2022,tt11790268,6.1,788,
"Ghost Adventures: Devil's Den",movie,"Documentary, History, Reality-TV",2022,tt22397628,7.4,61,
"Ghost Adventures: Horror at Joe Exotic Zoo",movie,"Horror, Reality-TV",2020,tt13183358,6.5,58,
Jan,movie,"Drama, Short",2023,tt23551876,,,
"Lego Friends: The Next Chapter: New Beginnings",movie,Family,2023,tt26485614,7,52,
"Buklerne Flytter Ind Hos Peddersen Og Findus",movie,,2023,,,,
"Breaking Point",movie,Sport,2023,tt12053110,4.5,384,
Sheroes,movie,"Action, Adventure, Comedy",2023,tt16970906,3.3,1638,
"Murder at Carter County Mines",movie,"Crime, Documentary, Short",2023,tt27860523,5.8,86,
"Yes, Chef! Christmas",movie,Comedy,2023,tt29552165,6.3,402,
"Field Day",movie,"Comedy, Family, Romance",2023,tt23812328,6.8,697,
"Where Are You, Christmas?",movie,"Comedy, Drama, Fantasy",2023,tt27496114,6.3,1279,
"Empty Nets",movie,Drama,2023,tt23143494,6.5,223,
"South to Black Power",movie,Documentary,2023,tt21630662,5.1,257,
"Take Me Away",movie,,2022,,,,
"Ghost Adventures: Lake of Death",movie,"Documentary, TV Movie",2023,,,,
"Aloha Heart",movie,"Comedy, Romance",2023,tt28145543,5.7,729,
"I Won't Die",movie,Documentary,2023,tt19846046,7.1,47,
"The Final Race",movie,"Action, Comedy, Family",2023,tt20355484,5.1,1950,
"Matriarch of Murder?",movie,Crime,2023,,,,
"Blaga's Lessons",movie,Drama,2023,tt27996716,7.1,1064,
"Jurassic Ghost Town: A Mass Murder Mystery",movie,History,2023,tt28037667,5.8,42,
"What Happened at Fells Acres?",movie,Documentary,2023,tt28021981,6.6,119,
"Cannes Uncut",movie,Documentary,2023,tt14909014,6.3,66,
"Brutal Heat",movie,Drama,2023,tt28544245,4.4,171,
"Snake Gas",movie,Drama,2023,tt19636278,3.3,30,
Splashback,movie,"Comedy, Drama, History",2023,tt28024611,7.4,159,
"Ancient Armageddon",movie,History,2023,tt27950781,6.2,134,
Freedom,movie,"Drama, Thriller, War",2023,tt25504794,7.4,1942,
"Monólogos da Vacina",movie,,2023,,,,
Rita,movie,Drama,2024,tt12699704,6.6,219,
"She Came at Night",movie,"Comedy, Horror",2023,tt27988718,6.5,290,
"Christmas in Notting Hill",movie,Romance,2023,tt29233347,6.1,2515,
"The Santa Summit",movie,Romance,2023,tt29381717,6.8,1681,
"A Merry Scottish Christmas",movie,"Comedy, Drama, Romance",2023,tt28237077,6.4,3264,
"Scooby-Doo! And Krypto, Too!",movie,"Action, Adventure, Animation",2023,tt28508231,6,1229,
"Making Waves",movie,"Comedy, Romance",2023,tt28466689,6.6,725,
"Napa Ever After",movie,"Drama, Romance",2023,tt28506136,6.1,418,
"Billion Dollar Heist",movie,"Crime, Documentary",2023,tt11028122,6.8,670,
"To End All War: Oppenheimer & the Atomic Bomb",movie,"Biography, Documentary, History",2023,tt28240284,7.4,2766,
"Justice League x RWBY: Super Heroes and Huntsmen Part Two",movie,"Action, Adventure, Animation",2023,tt28786861,5.7,689,
"The List",movie,Comedy,2023,tt12917050,5.3,6126,
"A Zest for Death: A Hannah Swensen Mystery",movie,Mystery,2023,tt28818186,6.9,651,
Possessions,movie,Horror,2024,tt14853700,3.8,839,
Australia,movie,Documentary,2009,tt2126234,7.1,35,
"Tell Them You Love Me",movie,Documentary,2023,tt29142525,6.9,3637,
"Metal Monsters: The Righteous Redeemer",movie,"Documentary, Sport",2023,tt28359825,6.2,43,
"De ce ma cheama Nora, cand cerul meu e senin",movie,"Biography, Documentary",2023,tt28254105,7.9,130,
"Lies We Tell",movie,"Crime, Mystery, Thriller",2023,tt10406410,6.4,817,
"Haul Out the Holly: Lit Up",movie,"Comedy, Romance",2023,tt28492358,5.6,1758,
"Seventh Heaven",movie,Comedy,2023,tt28222642,6.4,291,
"Artemis I: Going Back to the Moon",movie,Documentary,2022,tt23887404,6.5,23,
"Baby Looney Tunes: Backyard Adventures",movie,Family,2003,,,,
"The Lost Colony of Roanoke: New Evidence",movie,"History, Documentary",2022,tt20115922,6.8,97,
"The Red Suitcase",movie,"Drama, Horror, Mystery",2023,tt28495418,5.7,711,
"Tracy Morgan: Takin' It Too Far",movie,Comedy,2023,tt11459784,4.6,255,
"Adnan Syed: Overturned",movie,Documentary,2022,tt22245870,4.4,30,
Photophobia,movie,Documentary,2023,tt28635495,6.4,97,
"Ready Jet Go! Space Camp",movie,"Animation, Family",2023,tt28504880,6,41,
Punch,movie,"Comedy, Short",2023,tt26927404,,,
"Alien Sharks: Strange New Worlds",movie,Documentary,2023,tt28502049,6.9,20,
"Una decisión difícil",movie,,2021,,,,
"Fourth Down and Love",movie,"Comedy, Romance, Sport",2023,tt20869180,6.6,1123,
"Retreat to You",movie,"Comedy, Romance",2023,tt28524429,6.2,794,
"A Very Venice Romance",movie,"Comedy, Romance",2023,tt28524498,6.3,851,
"Everybody Knows",movie,Drama,2023,,,,
"Air Jaws: Final Frontier",movie,Documentary,2023,tt28505724,6.1,19,
"Jaws in the Shallows",movie,Documentary,2023,,,,
"Cocaine Sharks",movie,"Documentary, Short",2023,tt28503824,4.7,41,
"Monster Hammerheads: Killer Instinct",movie,Documentary,2023,tt28500658,6.1,39,
"Megasharks of Dangerous Reef",movie,Documentary,2023,,,,
"Raiders of the Lost Shark",movie,Documentary,2023,,,,
"Mako Mania: California Battle",movie,Documentary,2023,,,,
"Great White Fight Club",movie,Documentary,2023,,,,
"Jaws vs. the Meg",movie,"Documentary, Reality-TV",2023,tt28498814,5.8,50,
"Belly of the Beast: Feeding Frenzy",movie,Documentary,2023,,,,
"Serial Killer: Red Sea Attacks",movie,Documentary,2023,tt28505808,6.7,26,
"Tropic Jaws",movie,Documentary,2023,,,,
"Shark Week: Off the Hook",movie,Documentary,2023,,,,
"Florida Shark: Blood in the Water",movie,Documentary,2023,,,,
"Deadly Sharks of Paradise",movie,Documentary,2023,,,,
"Only When I Laugh",movie,Drama,2023,tt22531044,7.3,335,
"Ein Fest fürs Leben",movie,Comedy,2023,tt22693996,6.2,458,
Kill,movie,"Action, Crime, Drama",2023,tt28259207,7.5,38801,
Unmoored,movie,"Crime, Drama, Thriller",2023,tt13045486,6,219,
"Doomsday: The Trial of Lori Vallow Daybell",movie,Crime,2023,tt30749490,6.7,9,
"3 Bed, 2 Bath, 1 Ghost",movie,"Comedy, Drama, Family",2023,tt28818121,7.1,1785,
Kix,movie,Documentary,2024,tt32034405,8,1030,
"A Million Minutes",movie,Drama,2024,tt28618089,6.6,1002,
"Um Filme do Caraças",movie,Comedy,2023,tt28327276,3.7,92,
"The Never Born",movie,"Comedy, Documentary",2021,,,,
"Popular Theory",movie,"Adventure, Comedy, Family",2023,tt21956238,5.9,347,
"We Grown Now",movie,Drama,2023,tt28639049,6.8,1165,
"Cookie Monster's Bake Sale",movie,Family,2023,,,,
"A Bela América",movie,"Comedy, Drama, Thriller",2023,tt3259322,5.9,55,
"Velký Pán",movie,"Animation, Comedy, Fantasy",2024,tt30877290,7,8,
"AKA Mr. Chow",movie,Documentary,2023,tt28805537,6.8,304,
"Beyond the Headlines: The Gabby Petito Story",movie,"Crime, Documentary",2022,,,,
"Lil Nas X: Long Live Montero",movie,"Documentary, Music",2023,tt28609811,6.1,306,
"Disappeared: The Bradley Sisters",movie,"Crime, Documentary",2023,tt28703077,6,84,
"The Price of Truth",movie,Documentary,2023,tt28650951,6.8,79,
"Szenen einer Ehe",movie,,2012,,,,
"De olhos abertos",movie,Animation,2023,,,,
"Mamonas Assassinas: O Filme",movie,"Biography, Drama, Music",2023,tt24326062,4.9,1240,
"Great White Open Ocean",movie,Documentary,2022,tt21362640,7.1,58,
"Moving On",movie,Documentary,2022,,,,
"No Accident",movie,Documentary,2023,tt28798353,6.4,407,
"LEGO Jurassic Park: The Unofficial Retelling",movie,"Action, Animation, Short",2023,tt29380429,6.1,318,
"Sniper: G.R.I.T. - Global Response & Intelligence Team",movie,Action,2023,tt28487871,5.1,1605,
"As Neves",movie,"Drama, Thriller",2024,tt26164896,5.4,152,
Muscat,movie,"Drama, Short",2023,tt31918318,7.5,77,
"Stranger in the Woods",movie,Thriller,2024,tt19316408,3.5,1292,
Yun,movie,Drama,2023,,,,
Vindicta,movie,"Horror, Thriller",2023,tt28682039,4.3,1093,
Hotsureru,movie,"Drama, Romance",2023,tt30700501,5.8,150,
"The Swan Princess: Far Longer Than Forever",movie,"Animation, Family",2023,tt29768517,4.4,70,
"Sharkadelic Summer",movie,Documentary,2020,tt13362120,5.6,15,
"Dawn of the Monster Mako",movie,Documentary,2022,tt21352278,6.6,29,
"Saving the Gorillas: Ellen's Next Adventure",movie,Documentary,2023,tt29117738,1.2,335,
"Anyone But Her",movie,"Comedy, Romance",2024,tt29079096,4.9,274,
"Our Folks: The Beginning",movie,Comedy,2024,tt27578313,5.4,559,
"Men Up",movie,Drama,2023,tt26930838,6.9,1190,
"Kids Halloween Baking Championship",movie,Game-Show,2016,tt6186918,6.1,34,
"Betty's Bad Luck in Love",movie,"Comedy, Romance",2024,tt30523572,6.1,875,
Kneecap,movie,"Comedy, Drama, Music",2024,tt27367464,7.6,16195,
"Joyeux Noel",movie,Romance,2023,tt29353013,6.1,1063,
"Christmas on Cherry Lane",movie,"Drama, Family, Romance",2023,tt28287106,6.1,1671,
"Round and Round",movie,"Comedy, Fantasy",2023,tt29244163,7.1,1550,
"The Secret Gift of Christmas",movie,Drama,2023,tt28753331,6.2,1183,
"Magic in Mistletoe",movie,Romance,2023,tt29233549,6.3,998,
"To All a Good Night",movie,Romance,2023,tt29593734,7.4,1488,
"Christmas with a Kiss",movie,Romance,2023,tt29593706,5.7,749,
"Letters to Santa",movie,"Comedy, Romance",2023,tt27541327,5.9,827,
"Catch Me If You Claus",movie,"Comedy, Romance",2023,tt29513295,6.5,1819,
"Navigating Christmas",movie,"Comedy, Drama, Romance",2023,tt29499132,6.4,1316,
"Mystery on Mistletoe Lane",movie,Mystery,2023,tt29233371,7,1601,
"X Trillion",movie,Documentary,2024,tt10468350,6.6,57,
"The Ringleader: The Case of the Bling Ring",movie,"Documentary, Crime",2023,,,,
"Tisza-tó, az ember alkotta paradicsom",movie,Documentary,2023,tt28550622,8.7,79,
"Century of Animation Showcase: 1923",movie,"Animation, Comedy",2023,tt29362332,7,10,
"My Muslim Husband",movie,Documentary,2023,tt27909629,4.3,155,
Outrage,movie,Thriller,2023,tt15192822,3.6,329,
"Albert Brooks: Defending My Life",movie,"Biography, Documentary",2023,tt20274588,7.4,1637,
"Good Times, Bad Times",movie,Drama,2023,tt28285007,6.6,136,
"Sometime, Somewhere",movie,Documentary,2023,tt28038993,,,
"Night and Day",movie,Drama,2010,tt1719543,6.3,176,
"Yeti Massacre",movie,Documentary,2023,tt29304721,5.3,116,
"The Sibyl",movie,Drama,2022,tt17939670,5.8,140,
"Reunión 10 años – No se aceptan devoluciones",movie,Comedy,2023,,,,
50%,movie,"Action, Short",2023,tt28628711,,,
"Ghost Adventures: Devil Island",movie,"History, Documentary",2023,,,,
"Halloween Top 20",movie,"Documentary, Horror",2016,,,,
"Donald Trump: A Faking It Special",movie,Documentary,2020,,,,
"Endless Summer Syndrome",movie,"Comedy, Drama, Thriller",2023,tt28521906,6.2,271,
