title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Scoop,movie,"Comedy, Crime, Fantasy",2006,tt0457513,6.6,88972,
"Wallace & Gromit: The Curse of the Were-Rabbit",movie,"Adventure, Animation, Comedy",2005,tt0312004,7.5,152515,
"Terminator Salvation",movie,"Action, Adventure, Sci-Fi",2009,tt0438488,6.5,384553,
Psycho,movie,"Horror, Mystery, Thriller",1960,tt0054215,8.5,747330,
"The Crime of Padre Amaro",movie,"Drama, Romance",2002,tt0313196,6.7,14656,
Rashomon,movie,"Crime, Drama, Mystery",1950,tt0042876,8.2,187903,
Basquiat,movie,"Biography, Drama",1996,tt0115632,6.9,22780,
Spider-Man,movie,"Action, Adventure, Sci-Fi",2002,tt0145487,7.4,915535,
"Spider-Man 2",movie,"Action, Adventure, Sci-Fi",2004,tt0316654,7.5,739927,
"Spider-Man 3",movie,"Action, Adventure, Sci-Fi",2007,tt0413300,6.3,663302,
Constantine,movie,"Action, Fantasy, Horror",2005,tt0360486,7,389276,
"The Mummy",movie,"Action, Adventure, Fantasy",1999,tt0120616,7.1,479097,
"Rear Window",movie,"Drama, Mystery, Thriller",1954,tt0047396,8.5,542439,
"Apollo 13",movie,"Adventure, Drama, History",1995,tt0112384,7.7,324691,
"Fat Girl",movie,Drama,2001,tt0243255,6.4,13334,
"The Birds",movie,"Drama, Horror, Mystery",1963,tt0056869,7.6,211903,
Frenzy,movie,"Drama, Thriller",1972,tt0068611,7.4,51093,
"The Man Who Knew Too Much",movie,"Crime, Drama, Mystery",1956,tt0049470,7.4,72190,
"The Wild Bunch",movie,"Action, Adventure, Drama",1969,tt0065214,7.9,92588,
"The Da Vinci Code",movie,"Mystery, Thriller",2006,tt0382625,6.6,470243,
Solaris,movie,"Drama, Mystery, Sci-Fi",1972,tt0069293,7.9,101308,
Titanic,movie,"Drama, Romance",1997,tt0120338,7.9,1330018,
"City of God",movie,"Crime, Drama",2002,tt0317248,8.6,831647,
"Full Metal Jacket",movie,"Drama, War",1987,tt0093058,8.2,816167,
"The Matrix",movie,"Action, Sci-Fi",1999,tt0133093,8.7,2138289,
"The Matrix Reloaded",movie,"Action, Sci-Fi",2003,tt0234215,7.2,648689,
"The Matrix Revolutions",movie,"Action, Sci-Fi",2003,tt0242653,6.7,558483,
"Men in Black",movie,"Action, Adventure, Comedy",1997,tt0119654,7.3,634967,
"Men in Black II",movie,"Action, Adventure, Comedy",2002,tt0120912,6.2,416366,
Poltergeist,movie,"Horror, Thriller",1982,tt0084516,7.3,187167,
Munich,movie,"Drama, History, Thriller",2005,tt0408306,7.5,246224,
"Wild Strawberries",movie,"Drama, Romance",1957,tt0050986,8.1,119440,
"The Last Samurai",movie,"Action, Drama",2003,tt0325710,7.8,486132,
"Wild Things",movie,"Crime, Drama, Mystery",1998,tt0120890,6.6,135486,
"The Bodyguard",movie,"Drama, Music, Romance",1992,tt0103855,6.4,153002,
Ghostbusters,movie,"Action, Comedy, Fantasy",1984,tt0087332,7.8,467800,
Grease,movie,"Comedy, Musical, Romance",1978,tt0077631,7.2,312132,
"Interview with the Vampire",movie,"Drama, Fantasy, Horror",1994,tt0110148,7.5,360543,
"The Usual Suspects",movie,"Crime, Drama, Mystery",1995,tt0114814,8.5,1182626,
"The Wizard of Oz",movie,"Adventure, Family, Fantasy",1939,tt0032138,8.1,447392,
"Bridget Jones's Diary",movie,"Comedy, Drama, Romance",2001,tt0243155,6.8,276060,
"When Harry Met Sally...",movie,"Comedy, Drama, Romance",1989,tt0098635,7.7,253852,
"Catch Me If You Can",movie,"Biography, Crime, Drama",2002,tt0264464,8.1,1152547,
"Battleship Potemkin",movie,"Drama, History, Thriller",1925,tt0015648,7.9,63053,
"Beauty and the Beast",movie,"Drama, Fantasy, Romance",1946,tt0038348,7.9,28902,
"Belle de Jour",movie,"Drama, Romance",1967,tt0061395,7.6,51086,
Troy,movie,"Action, Adventure, Drama",2004,tt0332452,7.3,589393,
"On the Waterfront",movie,"Crime, Drama, Thriller",1954,tt0047296,8.1,170943,
"Paris, Texas",movie,Drama,1984,tt0087884,8.1,129873,
"The Tin Drum",movie,"Drama, War",1979,tt0078875,7.4,26747,
"The Marriage of Maria Braun",movie,"Drama, Romance",1979,tt0079095,7.7,15471,
Twister,movie,"Action, Adventure, Thriller",1996,tt0117998,6.5,242487,
Ben-Hur,movie,"Adventure, Drama",1959,tt0052618,8.1,261234,
"Nanook of the North",movie,Documentary,1922,tt0013427,7.6,13875,
Oldboy,movie,"Action, Drama, Mystery",2003,tt0364569,8.3,671851,
"Harry Potter and the Sorcerer's Stone",movie,"Adventure, Family, Fantasy",2001,tt0241527,7.7,897335,
"Harry Potter and the Chamber of Secrets",movie,"Adventure, Family, Fantasy",2002,tt0295297,7.4,723621,
"Harry Potter and the Prisoner of Azkaban",movie,"Adventure, Family, Fantasy",2004,tt0304141,7.9,723505,
"Harry Potter and the Goblet of Fire",movie,"Adventure, Family, Fantasy",2005,tt0330373,7.7,711980,
"Harry Potter and the Order of the Phoenix",movie,"Action, Adventure, Family",2007,tt0373889,7.5,661304,
Aliens,movie,"Action, Adventure, Horror",1986,tt0090605,8.4,803619,
"Pulp Fiction",movie,"Crime, Drama",1994,tt0110912,8.9,2314752,
Contact,movie,"Drama, Mystery, Sci-Fi",1997,tt0118884,7.5,301877,
"The Bridges of Madison County",movie,"Drama, Romance",1995,tt0112579,7.6,92338,
"Meet the Fockers",movie,"Comedy, Romance",2004,tt0290002,6.3,294239,
"The Shining",movie,"Drama, Horror",1980,tt0081505,8.4,1157998,
"A Hard Day's Night",movie,"Comedy, Musical",1964,tt0058182,7.5,49456,
"Top Gun",movie,"Action, Drama",1986,tt0092099,7,522477,
"The Last Emperor",movie,"Biography, Drama, History",1987,tt0093389,7.7,115186,
"V for Vendetta",movie,"Action, Drama, Sci-Fi",2005,tt0434409,8.1,1209159,
Faces,movie,Drama,1968,tt0062952,7.4,12238,
"From Dusk Till Dawn",movie,"Action, Crime, Horror",1996,tt0116367,7.2,352498,
"The Evil Dead",movie,Horror,1981,tt0083907,7.4,241220,
"Harry Potter and the Half-Blood Prince",movie,"Action, Adventure, Family",2009,tt0417741,7.6,622980,
Goodfellas,movie,"Biography, Crime, Drama",1990,tt0099685,8.7,1313463,
"Gone with the Wind",movie,"Drama, Romance, War",1939,tt0031381,8.2,344226,
"A Trip to the Moon",movie,"Adventure, Comedy, Fantasy",1902,tt0000417,8.1,58111,
"Monsieur Hulot's Holiday",movie,Comedy,1953,tt0046487,7.3,20947,
Vampyr,movie,"Fantasy, Horror",1932,tt0023649,7.4,21580,
"The Passion of Joan of Arc",movie,"Biography, Drama, History",1928,tt0019254,8.1,64014,
Gattaca,movie,"Drama, Sci-Fi, Thriller",1997,tt0119177,7.7,334101,
Kolya,movie,"Comedy, Drama, Music",1996,tt0116790,7.7,16533,
"Mrs. Doubtfire",movie,"Comedy, Drama",1993,tt0107614,7.1,302473,
Platoon,movie,"Drama, War",1986,tt0091763,8.1,452785,
"Blue Velvet",movie,"Crime, Drama, Mystery",1986,tt0090756,7.7,229544,
"City of Angels",movie,"Drama, Fantasy, Romance",1998,tt0120632,6.7,130924,
Persona,movie,"Drama, Thriller",1966,tt0060827,8,135377,
"Night and Fog",movie,"Documentary, History, Short",1956,tt0048434,8.6,22387,
Se7en,movie,"Crime, Drama, Mystery",1995,tt0114369,8.6,1891687,
Shrek,movie,"Adventure, Animation, Comedy",2001,tt0126029,7.9,766384,
"Shrek 2",movie,"Adventure, Animation, Comedy",2004,tt0298148,7.4,526640,
"Shrek the Third",movie,"Adventure, Animation, Comedy",2007,tt0413267,6.1,344814,
"Austin Powers: The Spy Who Shagged Me",movie,"Action, Adventure, Comedy",1999,tt0145660,6.7,255095,
"Austin Powers in Goldmember",movie,"Action, Adventure, Comedy",2002,tt0295178,6.2,227995,
"The Music Room",movie,"Drama, Music",1958,tt0051792,7.8,7020,
Diabolique,movie,"Crime, Drama, Horror",1955,tt0046911,8.1,71218,
M,movie,"Crime, Mystery, Thriller",1931,tt0022100,8.3,175716,
"Umberto D.",movie,Drama,1952,tt0045274,8.2,29373,
"Close Encounters of the Third Kind",movie,"Drama, Sci-Fi",1977,tt0075860,7.6,224295,
"In the Mood for Love",movie,"Drama, Romance",2000,tt0118694,8.1,175467,
"Brief Encounter",movie,"Drama, Romance",1945,tt0037558,8,46216,
"The Mask",movie,"Comedy, Crime, Fantasy",1994,tt0110475,7,442452,
"Sleepless in Seattle",movie,"Comedy, Drama, Romance",1993,tt0108160,6.8,197570,
"Dangerous Liaisons",movie,"Drama, Romance",1988,tt0094947,7.5,77162,
"Finding Neverland",movie,"Biography, Drama, Family",2004,tt0308644,7.7,214369,
"Singin' in the Rain",movie,"Comedy, Musical, Romance",1952,tt0045152,8.3,270612,
"The Color Purple",movie,Drama,1985,tt0088939,7.7,100404,
Hook,movie,"Adventure, Comedy, Family",1991,tt0102057,6.8,280966,
"A Few Good Men",movie,"Drama, Thriller",1992,tt0104257,7.7,299866,
"Coffee and Cigarettes",movie,"Comedy, Drama, Music",2003,tt0379217,7,68932,
"All the President's Men",movie,"Drama, History, Thriller",1976,tt0074119,7.9,130440,
"The World of Apu",movie,Drama,1959,tt0052572,8.4,17511,
Aparajito,movie,Drama,1956,tt0048956,8.2,16711,
"City Lights",movie,"Comedy, Drama, Romance",1931,tt0021749,8.5,205435,
"Cool Hand Luke",movie,"Crime, Drama",1967,tt0061512,8,193738,
"Pandora's Box",movie,"Crime, Drama, Romance",1929,tt0018737,7.7,12361,
"The Thomas Crown Affair",movie,"Crime, Drama, Romance",1968,tt0063688,6.9,29703,
"The Great Dictator",movie,"Comedy, Drama, War",1940,tt0032553,8.4,247373,
Bullitt,movie,"Action, Crime, Thriller",1968,tt0062765,7.4,78354,
"Dead Man",movie,"Adventure, Comedy, Drama",1995,tt0112817,7.5,105608,
"Dawn of the Dead",movie,"Action, Horror",2004,tt0363547,7.2,279939,
Gremlins,movie,"Comedy, Fantasy, Horror",1984,tt0087363,7.3,260434,
"Gremlins 2: The New Batch",movie,"Comedy, Fantasy, Horror",1990,tt0099700,6.4,116585,
Godzilla,movie,"Action, Sci-Fi, Thriller",1998,tt0120685,5.5,208010,
"The Pink Panther",movie,"Comedy, Crime, Romance",1963,tt0057413,7,58911,
"The Lady Vanishes",movie,"Crime, Drama, Mystery",1938,tt0030341,7.7,59021,
"Lethal Weapon",movie,"Action, Crime, Thriller",1987,tt0093409,7.6,285184,
"Lethal Weapon 2",movie,"Action, Crime, Thriller",1989,tt0097733,7.3,194563,
"Lethal Weapon 3",movie,"Action, Crime, Thriller",1992,tt0104714,6.7,183183,
"Lethal Weapon 4",movie,"Action, Crime, Thriller",1998,tt0122151,6.6,176077,
"Lawrence of Arabia",movie,"Adventure, Biography, Drama",1962,tt0056172,8.3,326893,
"Ice Age: The Meltdown",movie,"Adventure, Animation, Comedy",2006,tt0438097,6.8,306066,
"Kindergarten Cop",movie,"Action, Comedy, Crime",1990,tt0099938,6.2,167351,
Madagascar,movie,"Adventure, Animation, Comedy",2005,tt0351283,6.9,454970,
"Mission: Impossible",movie,"Action, Adventure, Thriller",1996,tt0117060,7.2,485402,
"Mission: Impossible II",movie,"Action, Adventure, Thriller",2000,tt0120755,6.1,389119,
"Mission: Impossible III",movie,"Action, Adventure, Thriller",2006,tt0317919,6.9,401722,
"The Gold Rush",movie,"Adventure, Comedy, Drama",1925,tt0015864,8.1,122829,
Spartacus,movie,"Adventure, Biography, Drama",1960,tt0054331,7.9,147206,
"Seven Years in Tibet",movie,"Adventure, Biography, Drama",1997,tt0120102,7.1,160970,
"Dirty Harry",movie,"Action, Crime, Thriller",1971,tt0066999,7.7,174023,
Eraserhead,movie,"Fantasy, Horror",1977,tt0074486,7.3,135695,
"Chimes at Midnight",movie,"Comedy, Drama, History",1965,tt0059012,7.6,10608,
Stagecoach,movie,"Adventure, Drama, Western",1939,tt0031971,7.8,56091,
"Mulholland Drive",movie,"Drama, Mystery, Thriller",2001,tt0166924,7.9,403441,
Sommersby,movie,"Drama, Mystery, Romance",1993,tt0108185,6.3,23885,
"The Hidden Fortress",movie,"Adventure, Drama",1958,tt0051808,8,43741,
"Elevator to the Gallows",movie,"Crime, Drama, Thriller",1958,tt0051378,7.9,29983,
"The Prestige",movie,"Drama, Mystery, Sci-Fi",2006,tt0482571,8.5,1502177,
Dreamgirls,movie,"Drama, Musical",2006,tt0443489,6.6,78700,
Princesses,movie,Drama,2005,tt0434292,6.9,5790,
